MACCS_fp_1,MACCS_fp_2,MACCS_fp_3,MACCS_fp_4,MACCS_fp_5,MACCS_fp_6,MACCS_fp_7,MACCS_fp_8,MACCS_fp_9,MACCS_fp_10,MACCS_fp_11,MACCS_fp_12,MACCS_fp_13,MACCS_fp_14,MACCS_fp_15,MACCS_fp_16,MACCS_fp_17,MACCS_fp_18,MACCS_fp_19,MACCS_fp_20,MACCS_fp_21,MACCS_fp_22,MACCS_fp_23,MACCS_fp_24,MACCS_fp_25,MACCS_fp_26,MACCS_fp_27,MACCS_fp_28,MACCS_fp_29,MACCS_fp_30,MACCS_fp_31,MACCS_fp_32,MACCS_fp_33,MACCS_fp_34,MACCS_fp_35,MACCS_fp_36,MACCS_fp_37,MACCS_fp_38,MACCS_fp_39,MACCS_fp_40,MACCS_fp_41,MACCS_fp_42,MACCS_fp_43,MACCS_fp_44,MACCS_fp_45,MACCS_fp_46,MACCS_fp_47,MACCS_fp_48,MACCS_fp_49,MACCS_fp_50,MACCS_fp_51,MACCS_fp_52,MACCS_fp_53,MACCS_fp_54,MACCS_fp_55,MACCS_fp_56,MACCS_fp_57,MACCS_fp_58,MACCS_fp_59,MACCS_fp_60,MACCS_fp_61,MACCS_fp_62,MACCS_fp_63,MACCS_fp_64,MACCS_fp_65,MACCS_fp_66,MACCS_fp_67,MACCS_fp_68,MACCS_fp_69,MACCS_fp_70,MACCS_fp_71,MACCS_fp_72,MACCS_fp_73,MACCS_fp_74,MACCS_fp_75,MACCS_fp_76,MACCS_fp_77,MACCS_fp_78,MACCS_fp_79,MACCS_fp_80,MACCS_fp_81,MACCS_fp_82,MACCS_fp_83,MACCS_fp_84,MACCS_fp_85,MACCS_fp_86,MACCS_fp_87,MACCS_fp_88,MACCS_fp_89,MACCS_fp_90,MACCS_fp_91,MACCS_fp_92,MACCS_fp_93,MACCS_fp_94,MACCS_fp_95,MACCS_fp_96,MACCS_fp_97,MACCS_fp_98,MACCS_fp_99,MACCS_fp_100,MACCS_fp_101,MACCS_fp_102,MACCS_fp_103,MACCS_fp_104,MACCS_fp_105,MACCS_fp_106,MACCS_fp_107,MACCS_fp_108,MACCS_fp_109,MACCS_fp_110,MACCS_fp_111,MACCS_fp_112,MACCS_fp_113,MACCS_fp_114,MACCS_fp_115,MACCS_fp_116,MACCS_fp_117,MACCS_fp_118,MACCS_fp_119,MACCS_fp_120,MACCS_fp_121,MACCS_fp_122,MACCS_fp_123,MACCS_fp_124,MACCS_fp_125,MACCS_fp_126,MACCS_fp_127,MACCS_fp_128,MACCS_fp_129,MACCS_fp_130,MACCS_fp_131,MACCS_fp_132,MACCS_fp_133,MACCS_fp_134,MACCS_fp_135,MACCS_fp_136,MACCS_fp_137,MACCS_fp_138,MACCS_fp_139,MACCS_fp_140,MACCS_fp_141,MACCS_fp_142,MACCS_fp_143,MACCS_fp_144,MACCS_fp_145,MACCS_fp_146,MACCS_fp_147,MACCS_fp_148,MACCS_fp_149,MACCS_fp_150,MACCS_fp_151,MACCS_fp_152,MACCS_fp_153,MACCS_fp_154,MACCS_fp_155,MACCS_fp_156,MACCS_fp_157,MACCS_fp_158,MACCS_fp_159,MACCS_fp_160,MACCS_fp_161,MACCS_fp_162,MACCS_fp_163,MACCS_fp_164,MACCS_fp_165,MACCS_fp_166,MACCS_fp_167,drug
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,5-Fluorocytosine
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,Amphotericin B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,Anidulafungin
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,Caspofungin
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,Fluconazole
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,Isavuconazole
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,Itraconazole
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,Micafungin
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,Posaconazole
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,Voriconazole
